OID_,reference_number,place_name,language,pronunciation,source,comments,internal_comments,date_added,status,preferred,created_user,created_date,last_edited_user,last_edited_date,globalid
27,47533,Gari,,,,,,,,,,,,,{00000000-0000-0000-0000-000000000000}
181,47533,K'gari,,,,,,,,,,,,,{00000000-0000-0000-0000-000000000000}
