OID_,reference_number,historic_reference_number,created_user,created_date,last_edited_user,last_edited_date,globalid
2644,52245,47533,,,,,{00000000-0000-0000-0000-000000000000}
5559,47533,13160,,,,,{00000000-0000-0000-0000-000000000000}
