OID_,reference_number,place_name,language,pronunciation,source,comments,internal_comments,date_added,status,preferred,created_user,created_date,last_edited_user,last_edited_date,globalid
35,14713,WOP-PA,,,,,,,,,,,,,{00000000-0000-0000-0000-000000000000}
56,14713,Woppa,,,,,,,,,,,,,{00000000-0000-0000-0000-000000000000}
97,14713,WAPPARABURRA,,,,,,,,,,,,,{00000000-0000-0000-0000-000000000000}
223,14713,WOPPABURRA,,,,,,,,,,,,,{00000000-0000-0000-0000-000000000000}
